complaint_text,category
Someone used my Aadhaar details without permission.,Identity Theft
My laptop shows a ransom message after reboot.,Ransomware
Someone is threatening to leak my private photos.,Revenge Porn
A person exposed my private chats online.,Doxxing
Unauthorized login detected on my laptop.,Unauthorized Access
My Twitter account was compromised.,Social Media Hacking
My intimate images were shared without consent.,Revenge Porn
Malware infected my PC after installing a file.,Malware Infection
A fake profile was created using my photos.,Identity Theft
I received an email asking for my bank details.,Phishing
Someone is repeatedly insulting me on social media.,Cyberbullying
I am being monitored digitally by someone.,Cyberstalking
Someone transferred money without my permission.,Financial Fraud
Someone is threatening to expose private chats.,Blackmail/Sextortion
My intimate images were shared without consent.,Revenge Porn
Someone logged into my email without permission.,Unauthorized Access
A stranger keeps messaging me despite being blocked.,Cyberstalking
A ransomware attack encrypted all my files.,Ransomware
A person recorded me without permission and is blackmailing me.,Revenge Porn
A fake login page tricked me into entering my credentials.,Phishing
Someone changed my password and logged into my Facebook.,Social Media Hacking
My private videos were uploaded online.,Revenge Porn
A stranger keeps messaging me despite being blocked.,Cyberstalking
My system shows weird pop-ups after clicking a link.,Malware Infection
Someone keeps creating new accounts to stalk me.,Cyberstalking
My computer is locked and asking for ransom.,Ransomware
My intimate images were shared without consent.,Revenge Porn
Someone sent me a suspicious link saying my account would be blocked.,Phishing
I found unknown devices connected to my account.,Unauthorized Access
A person recorded me without permission and is blackmailing me.,Revenge Porn
I found unknown devices connected to my account.,Unauthorized Access
My personal information was leaked online.,Doxxing
My system shows weird pop-ups after clicking a link.,Malware Infection
All my documents became unreadable due to ransomware.,Ransomware
A fake profile was created using my photos.,Identity Theft
I am being repeatedly contacted by a stalker online.,Cyberstalking
My laptop shows a ransom message after reboot.,Ransomware
A person recorded me without permission and is blackmailing me.,Revenge Porn
My Instagram account was hacked.,Social Media Hacking
I was scammed by an online shopping website.,Online Fraud
Someone shared my phone number publicly.,Doxxing
My identity is being used on fraudulent websites.,Identity Theft
Someone is repeatedly insulting me on social media.,Cyberbullying
Someone applied for a loan using my details.,Identity Theft
Someone is repeatedly insulting me on social media.,Cyberbullying
I am being repeatedly contacted by a stalker online.,Cyberstalking
Someone sent me a suspicious link saying my account would be blocked.,Phishing
Someone applied for a loan using my details.,Identity Theft
All my documents became unreadable due to ransomware.,Ransomware
A fake job recruiter asked me to pay fees.,Online Fraud
My identity is being used on fraudulent websites.,Identity Theft
I paid for a product online and never received it.,Online Fraud
Someone is threatening me using edited photos.,Blackmail/Sextortion
Someone is threatening to leak my private photos.,Revenge Porn
I paid for a product online and never received it.,Online Fraud
Someone shared my phone number publicly.,Doxxing
I paid for a product online and never received it.,Online Fraud
Someone is distributing my personal images illegally.,Revenge Porn
My address and details were posted without my consent.,Doxxing
My UPI ID was used for unauthorized payments.,Financial Fraud
A fake login page tricked me into entering my credentials.,Phishing
I am being monitored digitally by someone.,Cyberstalking
Unknown software installed itself on my laptop.,Malware Infection
I am being repeatedly contacted by a stalker online.,Cyberstalking
People are posting abusive comments about me.,Cyberbullying
My WhatsApp is being accessed by someone else.,Social Media Hacking
I am being repeatedly contacted by a stalker online.,Cyberstalking
My PAN card information was misused online.,Identity Theft
I am receiving harassing messages daily.,Cyberbullying
Unknown software installed itself on my laptop.,Malware Infection
My laptop shows a ransom message after reboot.,Ransomware
My wallet money was stolen.,Financial Fraud
My cloud storage was accessed without approval.,Unauthorized Access
My personal information was leaked online.,Doxxing
My system shows weird pop-ups after clicking a link.,Malware Infection
My Instagram account was hacked.,Social Media Hacking
I received an SMS asking for my OTP.,Phishing
My credit card was charged without my knowledge.,Financial Fraud
My intimate images were shared without consent.,Revenge Porn
Malware infected my PC after installing a file.,Malware Infection
Someone keeps creating new accounts to stalk me.,Cyberstalking
A fake login page tricked me into entering my credentials.,Phishing
My UPI ID was used for unauthorized payments.,Financial Fraud
I am being repeatedly contacted by a stalker online.,Cyberstalking
My cloud storage was accessed without approval.,Unauthorized Access
A ransomware attack encrypted all my files.,Ransomware
A malicious program is affecting my device performance.,Malware Infection
Someone changed my password and logged into my Facebook.,Social Media Hacking
My account shows login attempts from unknown locations.,Unauthorized Access
Someone keeps creating new accounts to stalk me.,Cyberstalking
My intimate images were shared without consent.,Revenge Porn
My credit card was charged without my knowledge.,Financial Fraud
Someone shared my phone number publicly.,Doxxing
Someone logged into my email without permission.,Unauthorized Access
Someone tricked me into sending money via UPI.,Online Fraud
Someone is threatening to leak my private photos.,Revenge Porn
A fake login page tricked me into entering my credentials.,Phishing
Unknown transactions happened in my bank account.,Financial Fraud
A ransomware attack encrypted all my files.,Ransomware
A group is bullying me online.,Cyberbullying
I received an email asking for my bank details.,Phishing
My wallet money was stolen.,Financial Fraud
Someone changed my password and logged into my Facebook.,Social Media Hacking
My intimate images were shared without consent.,Revenge Porn
Someone applied for a loan using my details.,Identity Theft
Someone used my Aadhaar details without permission.,Identity Theft
Someone logged into my email without permission.,Unauthorized Access
I am being repeatedly contacted by a stalker online.,Cyberstalking
Unauthorized login detected on my laptop.,Unauthorized Access
Someone applied for a loan using my details.,Identity Theft
I received threats asking for ransom with photos.,Blackmail/Sextortion
My address and details were posted without my consent.,Doxxing
Someone sent me a suspicious link saying my account would be blocked.,Phishing
People are posting abusive comments about me.,Cyberbullying
Someone is repeatedly insulting me on social media.,Cyberbullying
Unknown software installed itself on my laptop.,Malware Infection
People are posting abusive comments about me.,Cyberbullying
My cloud storage was accessed without approval.,Unauthorized Access
I am receiving harassing messages daily.,Cyberbullying
A stranger keeps messaging me despite being blocked.,Cyberstalking
A popup is demanding money to unlock my files.,Ransomware
I received an SMS asking for my OTP.,Phishing
Someone logged into my email without permission.,Unauthorized Access
A fake job recruiter asked me to pay fees.,Online Fraud
My computer is locked and asking for ransom.,Ransomware
Someone logged into my email without permission.,Unauthorized Access
A fake job recruiter asked me to pay fees.,Online Fraud
Someone is repeatedly insulting me on social media.,Cyberbullying
My account shows login attempts from unknown locations.,Unauthorized Access
Someone is threatening to expose private chats.,Blackmail/Sextortion
My photos and information were leaked intentionally.,Doxxing
I am being monitored digitally by someone.,Cyberstalking
A stranger keeps messaging me despite being blocked.,Cyberstalking
I am being repeatedly contacted by a stalker online.,Cyberstalking
A stranger keeps messaging me despite being blocked.,Cyberstalking
Someone is distributing my personal images illegally.,Revenge Porn
A stranger keeps messaging me despite being blocked.,Cyberstalking
Someone tricked me into sending money via UPI.,Online Fraud
My wallet money was stolen.,Financial Fraud
Someone is threatening me using edited photos.,Blackmail/Sextortion
My Twitter account was compromised.,Social Media Hacking
My WhatsApp is being accessed by someone else.,Social Media Hacking
My system shows weird pop-ups after clicking a link.,Malware Infection
Someone logged into my email without permission.,Unauthorized Access
A scammer convinced me to invest in a fake scheme.,Online Fraud
I found unknown devices connected to my account.,Unauthorized Access
Someone is threatening to expose private chats.,Blackmail/Sextortion
I am being repeatedly contacted by a stalker online.,Cyberstalking
My photos and information were leaked intentionally.,Doxxing
My photos and information were leaked intentionally.,Doxxing
A ransomware attack encrypted all my files.,Ransomware
My account shows login attempts from unknown locations.,Unauthorized Access
A person recorded me without permission and is blackmailing me.,Revenge Porn
I was scammed by an online shopping website.,Online Fraud
I paid for a product online and never received it.,Online Fraud
Someone is threatening to leak my private photos.,Revenge Porn
Someone is repeatedly insulting me on social media.,Cyberbullying
Someone keeps creating new accounts to stalk me.,Cyberstalking
Unknown login detected on my Snapchat.,Social Media Hacking
Someone is threatening to expose private chats.,Blackmail/Sextortion
My computer slowed down suddenly—it might be malware.,Malware Infection
A malicious program is affecting my device performance.,Malware Infection
I paid for a product online and never received it.,Online Fraud
A person recorded me without permission and is blackmailing me.,Revenge Porn
My private videos were uploaded online.,Revenge Porn
Someone is distributing my personal images illegally.,Revenge Porn
A fake Netflix subscription renewal message tricked me.,Phishing
Someone is threatening me using edited photos.,Blackmail/Sextortion
My Twitter account was compromised.,Social Media Hacking
I am being monitored digitally by someone.,Cyberstalking
Someone is following all my online activities.,Cyberstalking
Someone is threatening me using edited photos.,Blackmail/Sextortion
Someone sent me a suspicious link saying my account would be blocked.,Phishing
My photos and information were leaked intentionally.,Doxxing
Someone used my Aadhaar details without permission.,Identity Theft
My computer slowed down suddenly—it might be malware.,Malware Infection
My WhatsApp is being accessed by someone else.,Social Media Hacking
A fake job recruiter asked me to pay fees.,Online Fraud
My cloud storage was accessed without approval.,Unauthorized Access
People are posting abusive comments about me.,Cyberbullying
Someone keeps creating new accounts to stalk me.,Cyberstalking
I received an email asking for my bank details.,Phishing
Unknown software installed itself on my laptop.,Malware Infection
My computer slowed down suddenly—it might be malware.,Malware Infection
My photos and information were leaked intentionally.,Doxxing
A person is demanding money or they will leak my pictures.,Blackmail/Sextortion
